ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
3043,7,1,A,Female,0.67,2
3044,7,1,A,Male,0.33,0
3045,7,1,A,Female,0.67,1
3046,7,1,A,Male,1.0,1
3048,7,1,A,Male,0.0,1
3049,7,1,A,Female,0.33,0
3050,7,1,A,Female,0.67,2
3051,7,1,A,Male,0.67,2
3053,7,1,A,Female,1.0,2
3054,7,1,A,Female,1.0,1
3055,7,1,A,Female,0.0,1
3056,7,1,A,Female,0.67,2
3057,7,1,A,Female,0.67,0
3059,7,1,A,Female,0.33,1
3060,7,1,A,Female,0.67,0
3061,7,1,A,Female,0.67,1
3064,7,1,A,Female,0.33,2
3065,7,1,A,Female,1.0,2
3066,7,1,A,Male,1.0,1
3067,7,1,A,Female,1.0,2
3068,7,1,A,Male,0.67,1
3070,7,1,A,Male,0.67,0
3071,7,1,B,Female,1.0,1
3072,7,1,B,Male,0.67,2
3073,7,1,B,Female,0.67,2
3074,7,1,B,Female,0.67,0
3075,7,1,B,Female,0.33,2
3076,7,1,B,Female,0.33,1
3078,7,1,B,Male,1.0,2
3079,7,1,B,Male,1.0,1
3081,7,1,B,Female,0.67,2
3082,7,1,B,Male,0.67,2
3083,7,1,B,Male,0.67,1
3085,7,1,B,Female,0.67,1
3086,7,1,B,Female,0.67,2
3087,7,1,B,Male,0.67,2
3088,7,1,B,Male,1.0,1
3089,7,1,B,Male,0.33,1
3090,7,1,B,Male,1.0,1
3092,7,1,B,Male,0.67,1
3093,7,1,B,Female,0.67,0
3094,7,1,B,Male,1.0,2
3095,7,1,B,Female,0.67,2
3096,7,1,B,Female,0.67,0
3097,7,1,B,Male,0.67,0
3099,7,1,C,Male,0.67,2
3100,7,1,C,Female,0.67,1
3101,7,1,C,Male,0.67,1
3104,7,1,C,Male,0.67,0
3105,7,1,C,Male,0.67,2
3106,7,1,C,Female,0.67,1
3107,7,1,C,Male,1.0,1
3108,7,1,C,Male,1.0,1
3109,7,1,C,Male,1.0,1
3110,7,1,C,Male,0.67,0
3111,7,1,C,Male,0.67,0
3112,7,1,C,Male,0.33,0
3113,7,1,C,Male,0.67,0
3114,7,1,C,Male,0.67,1
3115,7,1,C,Male,0.0,0
3117,7,1,C,Male,1.0,0
3119,7,1,C,Female,0.67,2
3121,7,1,C,Female,0.67,2
3122,7,1,C,Male,0.67,1
3123,7,1,C,Female,0.67,1
3125,7,1,D,Male,1.0,1
3126,7,1,D,Male,0.67,1
3127,7,1,D,Male,0.67,1
3128,7,1,D,Male,0.67,1
3129,7,1,D,Female,0.67,0
3130,7,1,D,Female,0.67,1
3132,7,1,D,Male,0.67,1
3133,7,1,D,Male,1.0,0
3134,7,1,D,Male,1.0,2
3138,7,1,D,Female,0.67,1
3139,7,1,D,Male,1.0,1
3143,7,1,D,Male,0.67,0
3144,7,1,D,Male,0.33,0
3145,7,1,D,Male,0.67,2
3147,7,1,D,Female,0.67,1
