ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
5143,10,1,A,Male,0.67,2
5145,10,1,A,Male,0.0,2
5146,10,1,A,Male,1.0,1
5147,10,1,A,Female,0.67,0
5148,10,1,A,Female,0.67,2
5149,10,1,A,Male,0.67,0
5150,10,1,A,Female,0.67,3
5151,10,1,A,Male,0.67,2
5152,10,1,A,Female,0.67,0
5153,10,1,A,Male,0.67,2
5154,10,1,A,Female,0.67,2
5155,10,1,A,Female,1.0,3
5156,10,1,A,Male,0.33,0
5158,10,1,A,Female,0.67,1
5159,10,1,A,Male,0.67,0
5160,10,1,A,Female,0.67,3
5161,10,1,A,Female,0.67,3
5162,10,1,A,Female,0.67,1
5163,10,1,A,Male,0.33,2
5164,10,1,A,Male,0.67,0
5165,10,1,A,Female,0.67,0
5167,10,1,A,Female,1.0,2
5168,10,1,A,Male,1.0,3
5169,10,1,A,Female,0.67,2
5170,10,1,A,Male,0.67,0
5171,10,1,A,Male,0.67,1
5172,10,1,B,Female,0.33,2
5173,10,1,B,Female,1.0,1
5174,10,1,B,Male,1.0,1
5175,10,1,B,Male,1.0,0
5176,10,1,B,Female,1.0,0
5177,10,1,B,Male,0.67,0
5178,10,1,B,Female,0.67,1
5179,10,1,B,Male,0.67,2
5180,10,1,B,Female,0.67,2
5181,10,1,B,Female,0.67,1
5184,10,1,B,Female,0.33,0
5185,10,1,B,Female,1.0,1
5187,10,1,B,Male,0.67,2
5188,10,1,B,Male,1.0,1
5189,10,1,B,Male,0.67,2
5190,10,1,B,Female,0.67,1
5191,10,1,B,Female,1.0,2
5192,10,1,B,Male,1.0,1
5193,10,1,B,Male,1.0,0
5194,10,1,B,Male,1.0,0
5195,10,1,B,Male,0.33,2
5196,10,1,B,Male,0.67,0
5198,10,1,B,Female,0.33,1
5199,10,1,B,Female,0.33,0
5200,10,1,C,Male,0.33,0
5201,10,1,C,Female,0.33,2
5202,10,1,C,Male,0.33,1
5204,10,1,C,Female,0.33,1
5206,10,1,C,Female,0.67,1
5207,10,1,C,Female,1.0,2
5208,10,1,C,Male,0.67,3
5209,10,1,C,Female,0.67,2
5210,10,1,C,Male,0.67,2
5211,10,1,C,Female,0.33,1
5213,10,1,C,Male,0.33,2
5214,10,1,C,Male,0.67,0
5215,10,1,C,Male,0.67,1
5216,10,1,C,Female,0.67,2
5217,10,1,C,Male,0.67,3
