ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
2506,6,1,A,Female,1.0,2
2507,6,1,A,Female,0.33,0
2508,6,1,A,Male,0.67,0
2509,6,1,A,Female,0.33,2
2510,6,1,A,Female,0.33,0
2512,6,1,A,Male,0.33,2
2513,6,1,A,Female,0.33,0
2514,6,1,A,Female,0.33,0
2515,6,1,A,Female,0.33,2
2516,6,1,A,Female,0.67,2
2517,6,1,A,Female,0.67,0
2518,6,1,A,Male,1.0,2
2519,6,1,A,Female,0.33,2
2520,6,1,A,Male,0.33,2
2521,6,1,A,Male,0.33,2
2522,6,1,A,Male,0.33,2
2523,6,1,A,Male,0.0,0
2524,6,1,A,Female,0.0,2
2525,6,1,A,Female,0.33,2
2530,6,1,A,Male,1.0,1
2531,6,1,A,Female,0.0,1
2532,6,1,A,Male,1.0,2
2533,6,1,A,Female,0.33,2
2534,6,1,B,Female,1.0,0
2535,6,1,B,Male,0.33,2
2537,6,1,B,Male,0.67,2
2538,6,1,B,Female,0.67,2
2539,6,1,B,Female,1.0,1
2540,6,1,B,Male,0.67,1
2541,6,1,B,Female,0.67,1
2542,6,1,B,Female,1.0,2
2544,6,1,B,Male,0.33,0
2545,6,1,B,Male,0.33,2
2546,6,1,B,Male,0.67,2
2547,6,1,B,Female,1.0,2
2548,6,1,B,Male,0.0,1
2549,6,1,B,Male,0.67,1
2550,6,1,B,Female,0.33,1
2552,6,1,B,Male,1.0,1
2553,6,1,B,Female,0.0,2
2554,6,1,B,Male,1.0,2
2556,6,1,B,Male,0.67,2
2557,6,1,B,Female,0.67,0
2559,6,1,B,Male,0.33,2
2561,6,1,B,Male,1.0,0
2562,6,1,B,Male,1.0,0
2563,6,1,C,Male,0.33,0
2564,6,1,C,Male,1.0,0
2565,6,1,C,Male,1.0,2
2567,6,1,C,Female,0.67,2
2568,6,1,C,Male,0.67,2
2569,6,1,C,Female,0.33,2
2570,6,1,C,Male,1.0,1
2571,6,1,C,Male,0.0,1
2575,6,1,C,Female,0.33,2
2576,6,1,C,Female,0.33,2
2577,6,1,C,Male,0.67,2
2580,6,1,C,Female,0.67,1
2582,6,1,C,Female,0.0,1
2583,6,1,C,Male,0.67,2
2585,6,1,C,Male,0.0,2
2586,6,1,C,Female,0.67,0
2587,6,1,C,Female,0.67,1
2588,6,1,C,Male,0.33,2
2589,6,1,C,Male,0.33,0
2590,6,1,C,Female,0.67,2
2591,6,1,C,Female,0.67,1
2592,6,1,D,Male,0.0,1
2595,6,1,D,Male,1.0,1
2597,6,1,D,Male,1.0,0
2598,6,1,D,Male,1.0,2
2599,6,1,D,Female,1.0,2
2600,6,1,D,Male,1.0,1
2601,6,1,D,Male,0.67,2
2602,6,1,D,Male,0.0,2
2604,6,1,D,Female,0.33,0
2607,6,1,D,Male,1.0,1
2609,6,1,D,Male,1.0,2
2611,6,1,D,Female,0.0,1
2612,6,1,D,Male,0.33,1
2613,6,1,D,Female,0.67,1
2614,6,1,D,Female,1.0,1
2615,6,1,D,Male,1.0,1
2617,6,1,D,Female,0.67,1
2619,6,1,D,Female,0.33,1
2620,6,1,D,Female,0.0,0
2622,6,1,E,Female,0.67,0
2623,6,1,E,Male,0.67,1
2626,6,1,E,Male,0.33,0
2628,6,1,E,Male,0.67,2
2629,6,1,E,Female,1.0,2
2630,6,1,E,Male,0.67,2
2632,6,1,E,Male,0.33,0
2634,6,1,E,Female,1.0,2
2635,6,1,E,Female,0.67,2
2636,6,1,E,Male,1.0,2
2638,6,1,E,Female,0.33,1
2639,6,1,E,Female,0.0,0
2640,6,1,E,Male,1.0,1
2642,6,1,E,Female,0.67,2
2644,6,1,E,Male,0.33,1
2645,6,1,E,Female,0.0,1
2646,6,1,E,Female,1.0,1
2647,6,1,E,Male,0.67,2
2648,6,1,E,Female,0.67,0
2649,6,1,E,Female,0.33,0
