ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
3177,9,1,A,Female,0.67,2
3179,9,1,A,Male,0.67,1
3181,9,1,A,Female,0.67,1
3188,9,1,A,Male,0.67,0
3189,9,1,A,Male,0.67,0
3191,9,1,A,Male,1.0,2
3193,9,1,A,Male,0.67,0
3194,9,1,A,Female,0.33,2
3195,9,1,A,Male,0.33,1
3196,9,1,A,Female,1.0,2
3197,9,1,A,Female,0.67,1
3206,9,1,A,Female,0.67,2
3210,9,1,B,Male,0.67,2
3212,9,1,B,Female,0.67,2
3213,9,1,B,Male,0.67,2
3214,9,1,B,Female,0.67,2
3216,9,1,B,Male,0.33,2
3217,9,1,B,Female,0.33,1
3221,9,1,B,Male,0.33,1
3223,9,1,B,Male,0.67,2
3225,9,1,B,Female,0.67,2
3226,9,1,B,Male,1.0,2
3227,9,1,B,Male,1.0,2
3228,9,1,B,Male,0.33,2
3230,9,1,B,Female,0.0,2
3231,9,1,B,Male,0.33,1
3232,9,1,B,Male,1.0,2
3234,9,1,B,Female,0.0,2
3235,9,1,B,Male,1.0,1
3242,9,1,C,Male,0.67,2
3244,9,1,C,Male,0.67,1
3249,9,1,C,Female,0.67,1
3250,9,1,C,Male,0.0,2
3252,9,1,C,Female,0.67,1
3254,9,1,C,Male,0.67,0
3255,9,1,C,Female,0.33,2
3256,9,1,C,Female,0.67,2
3260,9,1,C,Female,0.33,0
3265,9,1,C,Male,0.33,1
3266,9,1,C,Male,0.0,2
3267,9,1,C,Female,0.67,1
3268,9,1,C,Female,0.0,2
3270,9,1,D,Male,0.67,2
3271,9,1,D,Female,0.67,2
3272,9,1,D,Female,0.67,2
3273,9,1,D,Female,0.0,2
3274,9,1,D,Female,0.33,1
3275,9,1,D,Female,1.0,2
3276,9,1,D,Female,0.67,2
3278,9,1,D,Female,0.33,1
3279,9,1,D,Female,0.67,2
3280,9,1,D,Male,1.0,1
3281,9,1,D,Male,1.0,1
3282,9,1,D,Female,0.67,2
3283,9,1,D,Male,0.67,2
3284,9,1,D,Male,0.67,2
3285,9,1,D,Male,0.0,3
3286,9,1,D,Male,0.0,2
3287,9,1,D,Female,0.67,0
3288,9,1,D,Male,1.0,1
3289,9,1,D,Female,0.67,2
3291,9,1,D,Male,1.0,1
3292,9,1,D,Male,1.0,0
3294,9,1,D,Female,0.67,2
3295,9,1,D,Male,0.67,2
3296,9,1,D,Female,0.67,1
3297,9,1,D,Female,0.67,2
5601,9,2,A,Female,0.33,1
5603,9,2,A,Female,0.67,2
5604,9,2,A,Female,0.67,2
5606,9,2,A,Male,0.33,1
5607,9,2,A,Female,0.67,2
5609,9,2,A,Male,1.0,2
5610,9,2,A,Female,1.0,0
5611,9,2,A,Female,0.67,1
5612,9,2,A,Female,0.67,2
5613,9,2,A,Male,0.67,2
5615,9,2,A,Male,1.0,2
5616,9,2,A,Female,0.67,2
5620,9,2,A,Female,1.0,2
5623,9,2,A,Male,0.67,0
5624,9,2,A,Female,1.0,2
5626,9,2,A,Male,0.33,1
5627,9,2,A,Female,0.33,0
5630,9,2,A,Female,0.67,2
5631,9,2,B,Female,0.67,2
5636,9,2,B,Female,1.0,1
5637,9,2,B,Female,0.67,1
5640,9,2,B,Female,0.67,2
5642,9,2,B,Male,0.67,1
5644,9,2,B,Female,0.67,2
5645,9,2,B,Male,0.0,2
5646,9,2,B,Male,0.67,2
5648,9,2,B,Female,0.67,1
5649,9,2,B,Male,1.0,0
5651,9,2,B,Male,1.0,1
5652,9,2,B,Female,0.67,2
5653,9,2,B,99.0,0.33,1
5655,9,2,B,Male,0.33,1
5660,9,2,B,Male,0.33,2
5661,9,2,B,Female,0.67,1
5663,9,2,C,Female,1.0,2
5666,9,2,C,Female,1.0,3
5667,9,2,C,Male,0.67,2
5668,9,2,C,Male,0.33,1
5671,9,2,C,Female,1.0,2
5673,9,2,C,Male,0.33,1
5674,9,2,C,Female,0.67,2
5679,9,2,C,Male,0.67,1
5683,9,2,C,Female,0.67,1
5685,9,2,C,Male,0.0,1
5686,9,2,C,Male,0.67,1
5687,9,2,C,Male,1.0,1
5688,9,2,C,Female,0.67,0
5689,9,2,C,Female,0.33,2
5691,9,2,C,Male,1.0,3
5693,9,2,D,Female,0.33,1
5694,9,2,D,Female,0.67,2
5695,9,2,D,Male,1.0,2
5697,9,2,D,Male,0.67,2
5698,9,2,D,Female,1.0,2
5699,9,2,D,Male,0.67,1
5701,9,2,D,Male,0.67,2
5703,9,2,D,Male,0.67,1
5704,9,2,D,Female,0.67,2
5706,9,2,D,Female,0.67,2
5709,9,2,D,Male,0.33,1
5711,9,2,D,Female,0.33,0
5713,9,2,D,Male,0.67,1
5714,9,2,D,Female,0.67,1
5716,9,2,D,Male,1.0,2
5717,9,2,D,Female,0.0,2
5718,9,2,D,Female,1.0,2
5719,9,2,D,Female,0.67,1
5721,9,2,D,Male,0.67,2
5722,9,2,D,Male,1.0,2
5723,9,2,D,Male,0.0,1
5724,9,2,D,Male,0.33,1
5726,9,2,E,Female,0.33,2
5727,9,2,E,Female,0.67,2
5731,9,2,E,Male,0.67,2
5732,9,2,E,Female,0.67,1
5733,9,2,E,Male,0.67,2
5734,9,2,E,Female,0.67,0
5735,9,2,E,Male,0.67,1
5736,9,2,E,Male,0.67,2
5737,9,2,E,Female,0.67,2
5738,9,2,E,Male,0.67,2
5739,9,2,E,Male,0.67,1
5740,9,2,E,Female,0.67,1
5741,9,2,E,Male,0.67,3
5743,9,2,E,Female,0.67,1
5744,9,2,E,Male,0.67,0
5745,9,2,E,Male,1.0,2
5746,9,2,E,Male,0.67,1
5748,9,2,E,Female,0.67,2
5749,9,2,E,Male,0.67,1
5750,9,2,E,Male,0.67,1
5753,9,2,E,Male,1.0,2
5754,9,2,E,Male,0.0,2
5757,9,2,E,Female,0.67,2
5763,9,3,A,Male,1.0,1
5764,9,3,A,Male,0.0,2
5765,9,3,A,Male,0.67,2
