ID,Curso,Grupo,Sexo,prosocial,crttotal
871,2,D,Female,0.666666667,3.0
863,2,D,Female,0.666666667,3.0
885,2,D,Female,0.666666667,3.0
845,2,D,Female,0.666666667,3.0
862,2,D,Female,1.0,3.0
884,2,D,Male,1.0,2.000000001
851,2,D,Male,0.333333333,0.999999999
869,2,D,Female,0.666666667,0.999999999
910,2,D,Male,,
895,2,D,Male,1.0,3.0
908,2,D,Female,0.666666667,2.000000001
904,2,D,Female,1.0,2.000000001
928,2,D,Male,0.666666667,2.000000001
