ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
2039,5,1,A,Male,0.67,1
2040,5,1,A,Female,1.0,0
2041,5,1,A,Female,0.33,2
2042,5,1,A,Male,0.0,1
2043,5,1,A,Female,1.0,2
2044,5,1,A,Male,1.0,2
2046,5,1,A,Female,0.33,2
2047,5,1,A,Male,0.67,2
2048,5,1,A,Female,0.67,2
2050,5,1,A,Male,1.0,1
2051,5,1,A,Female,0.0,2
2052,5,1,A,Male,0.0,2
2053,5,1,A,Male,1.0,2
2055,5,1,A,Male,0.67,2
2056,5,1,A,Female,1.0,2
2058,5,1,A,Female,1.0,2
2059,5,1,A,Female,0.67,1
2060,5,1,A,Male,0.33,0
2061,5,1,A,Male,1.0,2
2062,5,1,A,Male,0.67,1
2063,5,1,A,Female,0.67,2
2064,5,1,A,Male,1.0,0
2066,5,1,A,Female,0.67,0
2067,5,1,A,Male,0.67,0
2068,5,1,A,Female,1.0,1
2069,5,1,B,Female,0.0,0
2070,5,1,B,Female,0.33,2
2071,5,1,B,Female,0.33,1
2072,5,1,B,Female,0.33,1
2073,5,1,B,Male,0.67,2
2074,5,1,B,Female,0.33,2
2075,5,1,B,Male,0.67,1
2076,5,1,B,Female,0.67,2
2077,5,1,B,Male,0.33,1
2078,5,1,B,Female,0.67,2
2079,5,1,B,Female,0.67,2
2080,5,1,B,Female,0.33,2
2081,5,1,B,Male,0.33,3
2082,5,1,B,Female,0.67,0
2083,5,1,B,Female,0.33,1
2085,5,1,B,Male,1.0,3
2086,5,1,B,Male,1.0,0
2087,5,1,B,Male,1.0,2
2088,5,1,B,Male,1.0,2
2089,5,1,B,Male,0.67,1
2090,5,1,B,Male,1.0,2
2091,5,1,B,Female,0.67,2
2092,5,1,B,Male,1.0,0
2093,5,1,B,Male,0.0,2
2094,5,1,B,Female,1.0,1
2096,5,1,B,Female,0.33,0
2097,5,1,B,Female,0.67,2
3304,5,2,A,Male,0.67,2
3305,5,2,A,Female,0.67,2
3306,5,2,A,Female,0.33,2
3307,5,2,A,Female,0.67,0
3308,5,2,A,Female,0.33,2
3309,5,2,A,Male,0.67,1
3311,5,2,A,Female,0.67,1
3312,5,2,A,Female,0.33,1
3313,5,2,A,Female,0.33,2
3314,5,2,A,Male,1.0,2
3315,5,2,A,Male,0.67,0
3317,5,2,A,Male,0.67,2
