ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
4825,3,1,A,Female,1.0,2
4826,3,1,A,Male,1.0,2
4827,3,1,A,Female,0.67,2
4828,3,1,A,Male,1.0,2
4829,3,1,A,Female,1.0,2
4830,3,1,A,Male,0.67,0
4831,3,1,A,Male,0.0,1
4833,3,1,A,Male,1.0,1
4834,3,1,A,Male,0.67,2
4835,3,1,A,Male,0.67,2
4836,3,1,A,Female,0.33,2
4837,3,1,A,Male,0.67,2
4838,3,1,A,Female,0.67,2
4839,3,1,A,Female,0.67,2
4840,3,1,A,Male,0.33,1
4841,3,1,A,Male,0.0,1
4842,3,1,A,Male,0.67,1
4843,3,1,A,Male,0.33,2
4844,3,1,A,Male,0.67,1
4845,3,1,A,Female,0.67,2
4846,3,1,A,Male,0.33,1
4847,3,1,A,Male,1.0,1
4848,3,1,A,Female,0.67,1
4849,3,1,A,Female,0.33,1
4851,3,1,A,Female,1.0,1
4852,3,1,A,Female,0.67,2
4854,3,1,A,Female,0.67,1
4856,3,1,A,Female,0.33,2
4857,3,1,B,Female,0.0,1
4858,3,1,B,Male,0.33,1
4860,3,1,B,Female,0.33,2
4861,3,1,B,Female,0.67,1
4863,3,1,B,Male,0.33,2
4864,3,1,B,Male,0.0,2
4865,3,1,B,Male,1.0,2
4866,3,1,B,Male,1.0,2
4867,3,1,B,Female,0.67,2
4870,3,1,B,Male,0.67,1
4871,3,1,B,Male,0.67,2
4872,3,1,B,Female,0.67,2
4874,3,1,B,Female,0.67,1
4875,3,1,B,Female,1.0,2
4877,3,1,B,Male,0.0,1
4878,3,1,B,Male,0.67,2
4879,3,1,B,Male,0.67,2
4880,3,1,B,Male,0.67,2
4881,3,1,B,Female,1.0,2
4882,3,1,B,Female,1.0,2
4883,3,1,B,Male,0.67,2
4884,3,1,B,Male,0.67,1
4885,3,1,B,Male,1.0,1
4886,3,1,B,Male,0.67,2
4889,3,1,C,Male,1.0,2
4890,3,1,C,Female,0.67,2
4891,3,1,C,Female,1.0,2
4892,3,1,C,Female,0.67,1
