ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
4119,2,1,A,Male,0.33,1
4121,2,1,A,Female,0.67,0
4122,2,1,A,Female,0.33,1
4124,2,1,A,Female,1.0,2
4125,2,1,A,Female,0.67,0
4126,2,1,A,Female,0.33,0
4128,2,1,A,Male,1.0,1
4129,2,1,A,Male,0.67,1
4131,2,1,A,Male,1.0,1
4132,2,1,A,Female,0.67,1
4134,2,1,A,Female,0.67,2
4135,2,1,A,Male,0.33,1
4136,2,1,A,Male,0.67,2
4137,2,1,A,Male,1.0,1
4138,2,1,A,Male,0.0,1
4141,2,1,A,Female,0.67,2
4142,2,1,A,Female,0.67,1
4144,2,1,A,Female,0.33,1
4145,2,1,A,Female,0.67,2
4146,2,1,A,Male,1.0,0
4147,2,1,A,Male,0.67,1
4148,2,1,A,Female,0.67,2
4149,2,1,B,Female,0.67,1
4151,2,1,B,Male,0.33,0
4153,2,1,B,Female,0.67,2
4154,2,1,B,Female,0.67,2
4155,2,1,B,Female,0.67,0
4157,2,1,B,Male,0.33,2
4159,2,1,B,Male,0.33,2
4160,2,1,B,Female,0.67,2
4161,2,1,B,Female,0.67,0
4162,2,1,B,Female,0.67,0
4164,2,1,B,Male,1.0,1
4165,2,1,B,Female,0.67,2
4166,2,1,B,Male,1.0,1
4168,2,1,B,Male,0.67,1
4169,2,1,B,Male,1.0,1
4170,2,1,B,Male,1.0,2
4171,2,1,B,Female,0.67,2
4172,2,1,B,Male,1.0,2
4174,2,1,B,Female,0.67,2
4175,2,1,B,Female,0.33,0
4176,2,1,B,Male,1.0,2
4177,2,1,C,Female,0.67,1
4179,2,1,C,Female,0.67,2
4180,2,1,C,Female,0.67,2
4181,2,1,C,Female,0.67,2
4182,2,1,C,Female,0.33,0
4183,2,1,C,Male,0.0,1
4187,2,1,C,Female,1.0,1
4190,2,1,C,Female,1.0,2
4192,2,1,C,Female,1.0,0
4198,2,1,C,Male,1.0,1
4199,2,1,C,Female,0.67,1
4202,2,1,C,Male,0.33,2
4203,2,1,C,Male,0.67,1
4204,2,1,C,Male,0.33,0
4206,2,1,D,Male,1.0,1
4207,2,1,D,Male,0.0,1
4209,2,1,D,Male,0.33,2
4210,2,1,D,Male,1.0,2
4211,2,1,D,Male,0.67,2
4212,2,1,D,Male,1.0,2
4214,2,1,D,Female,0.33,2
4216,2,1,D,Female,0.67,2
4220,2,1,D,Male,0.67,1
4222,2,1,D,Female,1.0,2
4223,2,1,D,Female,0.67,1
4224,2,1,D,Male,0.33,2
4227,2,1,D,Male,0.33,2
4229,2,1,D,Male,0.67,2
4230,2,1,D,Female,0.67,2
4232,2,1,D,Female,0.67,2
4234,2,1,D,Female,0.67,1
4235,2,1,E,Male,1.0,1
4241,2,1,E,Male,0.33,1
4243,2,1,E,Female,0.67,1
4244,2,1,E,Female,0.67,1
4245,2,1,E,Male,1.0,1
4246,2,1,E,Male,1.0,3
4247,2,1,E,Male,0.67,1
4249,2,1,E,Female,0.67,0
4250,2,1,E,Male,0.67,1
4251,2,1,E,Female,0.0,2
4252,2,1,E,Male,1.0,2
4253,2,1,E,Female,0.0,2
4254,2,1,E,Male,0.67,2
4256,2,1,E,Male,0.67,2
4257,2,1,E,Male,0.33,2
4259,2,1,E,Female,0.67,1
4260,2,1,E,Female,0.33,0
4261,2,1,E,Male,0.0,0
4262,2,1,E,Male,1.0,2
4263,2,1,F,Female,0.67,0
4264,2,1,F,Female,1.0,1
4266,2,1,F,Male,1.0,2
4267,2,1,F,Female,0.67,1
4268,2,1,F,Male,0.0,1
4269,2,1,F,Female,0.67,0
