ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
3501,1,1,A,Male,0.67,1
3502,1,1,A,Female,0.67,1
3503,1,1,A,Male,0.67,0
3504,1,1,A,Male,1.0,1
3505,1,1,A,Male,0.67,2
3507,1,1,A,Female,0.33,2
3508,1,1,A,Female,1.0,2
3510,1,1,A,Female,0.33,1
3511,1,1,A,Female,0.67,2
3512,1,1,A,Female,1.0,0
3513,1,1,A,Female,0.0,0
3516,1,1,A,Male,1.0,0
3517,1,1,A,Female,0.0,2
3518,1,1,A,Male,0.67,1
3520,1,1,A,Male,0.67,2
3522,1,1,A,Male,0.0,0
3523,1,1,A,Male,0.67,2
3524,1,1,A,Female,0.67,2
3525,1,1,A,Male,0.67,2
3526,1,1,A,Male,0.67,2
3527,1,1,A,Male,1.0,2
3528,1,1,B,Female,0.0,0
3529,1,1,B,Female,0.33,3
3530,1,1,B,Male,0.67,2
3531,1,1,B,Female,1.0,0
3532,1,1,B,Male,1.0,2
3533,1,1,B,Female,0.67,2
3534,1,1,B,Female,0.33,1
3535,1,1,B,Female,0.67,0
3536,1,1,B,Female,0.67,0
3537,1,1,B,Female,0.67,0
3538,1,1,B,Female,0.67,2
3539,1,1,B,Female,0.67,2
3540,1,1,B,Female,0.67,2
3541,1,1,B,Female,0.33,1
3542,1,1,B,Female,0.33,0
3543,1,1,B,Male,0.33,2
3544,1,1,B,Female,0.67,2
3545,1,1,B,Female,0.67,2
3546,1,1,B,Female,0.67,2
3547,1,1,B,Female,0.67,0
3551,1,1,B,Male,1.0,2
3552,1,1,B,Female,0.33,2
3553,1,1,B,Female,0.67,1
3555,1,1,B,Male,0.67,2
3556,1,1,C,Female,0.67,2
3557,1,1,C,Female,0.67,2
3558,1,1,C,Male,0.33,1
3559,1,1,C,Male,1.0,2
3560,1,1,C,Male,0.33,2
3561,1,1,C,Male,1.0,3
3562,1,1,C,Male,0.67,2
3563,1,1,C,Male,0.0,0
3565,1,1,C,Male,1.0,3
