ID,Curso,Grupo,Sexo,prosocial,crttotal
1089,6,A,Male,1,3.0
1090,6,A,Female,1,0.0
1091,6,A,Female,0.666666666666667,1.0
1092,6,A,Male,1,1.0
1093,6,A,Female,1,2.0
1096,6,A,Male,1,3.0
1097,6,A,Male,1,3.0
1098,6,A,Female,1,3.0
1099,6,A,Male,0.666666666666667,3.0
1100,6,A,Male,0.333333333333333,1.0
1101,6,A,Female,0.666666666666667,0.0
1102,6,A,Female,1,1.0
1103,6,A,Female,1,3.0
1104,6,A,Male,1,3.0
1105,6,A,Male,1,1.0
1111,6,A,Male,0.666666666666667,0.0
1112,6,A,Male,1,1.0
1113,6,A,Female,0.666666666666667,2.0
1094,6,A,Male,1,3.0
1095,6,A,Male,1,0.0
1106,6,A,Male,0.666666666666667,1.0
1107,6,A,Female,0.666666666666667,2.0
1108,6,A,Female,0.333333333333333,3.0
1109,6,A,Female,1,3.0
1110,6,A,Female,1,0.0
1114,6,B,Female,1,3.0
1115,6,B,Female,0.666666666666667,3.0
1116,6,B,Male,0.666666666666667,2.0
1117,6,B,Male,0.333333333333333,0.0
1118,6,B,Male,1,3.0
1119,6,B,Male,1,1.0
1120,6,B,Female,1,2.0
1126,6,B,Female,0.666666666666667,3.0
1127,6,B,Female,1,0.0
1128,6,B,Male,0.666666666666667,2.0
1129,6,B,Female,0.666666666666667,0.0
1130,6,B,Female,0.666666666666667,0.0
1131,6,B,Male,0.666666666666667,2.0
1132,6,B,Female,0.666666666666667,1.0
1133,6,B,Female,0.333333333333333,0.0
1134,6,B,Female,0.666666666666667,3.0
1135,6,B,Male,1,0.0
1121,6,B,Male,1,0.0
1122,6,B,Female,0.666666666666667,1.0
1123,6,B,Female,0.666666666666667,3.0
1124,6,B,Female,0.666666666666667,3.0
1125,6,B,Male,1,3.0
1136,6,B,Male,1,2.0
1137,6,B,Male,1,3.0
1138,6,B,Female,1,0.0
1141,6,C,Female,0.666666666666667,0.0
1142,6,C,Male,1,1.0
1143,6,C,Female,0.333333333333333,1.0
1144,6,C,Male,0.333333333333333,3.0
1145,6,C,Male,0.666666666666667,2.0
1146,6,C,Male,1,2.0
1147,6,C,Male,0.666666666666667,0.0
1148,6,C,Male,0.666666666666667,0.0
1149,6,C,Male,1,2.0
1150,6,C,Female,0.666666666666667,1.0
1157,6,C,Female,0.333333333333333,2.0
1158,6,C,Male,0.666666666666667,3.0
1159,6,C,Male,0.333333333333333,0.0
1160,6,C,Male,1,1.0
1163,6,C,Female,0.666666666666667,1.0
1164,6,C,Female,1,1.0
1139,6,C,Female,1,1.0
1140,6,C,Male,1,1.0
1151,6,C,Male,0,0.0
1152,6,C,Female,0.666666666666667,2.0
1153,6,C,Female,0,0.0
1154,6,C,Male,0.666666666666667,2.0
1155,6,C,Male,1,3.0
1156,6,C,Male,0.666666666666667,0.0
1161,6,C,Male,0.666666666666667,3.0
1162,6,C,Male,1,0.0
1165,6,D,Female,1,3.0
1166,6,D,Male,0.666666666666667,0.0
1167,6,D,Male,0.666666666666667,1.0
1168,6,D,Female,0.333333333333333,2.0
1169,6,D,Male,0.333333333333333,0.0
1170,6,D,Male,1,0.0
1171,6,D,Female,1,2.0
1172,6,D,Female,0.666666666666667,2.0
1173,6,D,Male,1,3.0
1174,6,D,Female,1,3.0
1175,6,D,Female,0.666666666666667,2.0
1176,6,D,Male,0.666666666666667,1.0
1177,6,D,Male,1,3.0
1178,6,D,Female,0.666666666666667,0.0
1179,6,D,Female,1,0.0
1180,6,D,Male,1,2.0
1181,6,D,Male,1,2.0
1182,6,D,Male,0.666666666666667,1.0
1183,6,D,Male,1,1.0
1184,6,D,Female,1,3.0
1185,6,D,Male,1,3.0
1186,6,D,Female,1,3.0
1187,6,D,Female,1,3.0
1188,6,D,Male,1,3.0
1189,6,D,Male,1,0.0
1190,6,E,Male,1,3.0
1191,6,E,Male,1,3.0
1192,6,E,Female,1,1.0
1193,6,E,Male,0.666666666666667,2.0
1194,6,E,Female,0,1.0
1195,6,E,Male,1,3.0
1196,6,E,Male,1,2.0
1197,6,E,Male,1,0.0
1198,6,E,Female,1,0.0
1199,6,E,Male,1,2.0
1200,6,E,Male,0.666666666666667,2.0
1201,6,E,Female,0.666666666666667,1.0
1202,6,E,Male,0.666666666666667,2.0
1203,6,E,Female,1,2.0
1204,6,E,Female,0,1.0
1205,6,E,Female,0,2.0
1206,6,E,Female,1,2.0
1207,6,E,Female,0.333333333333333,1.0
1208,6,E,Female,1,1.0
1209,6,E,Female,1,2.0
1210,6,E,Male,1,1.0
1211,6,E,Male,1,2.0
1212,6,E,Male,1,1.0
1213,6,E,Female,1,3.0
1214,6,E,Male,1,3.0
963,1,A,Male,1,3.0
964,1,A,Female,0.666666666666667,2.0
965,1,A,Male,1,2.0
966,1,A,Male,1,2.0
967,1,A,Male,0.333333333333333,3.0
968,1,A,Female,0.666666666666667,1.0
969,1,A,Female,1,3.0
970,1,A,Female,1,3.0
971,1,A,Female,1,0.0
972,1,A,Male,1,3.0
973,1,A,Male,0.666666666666667,2.0
974,1,A,Female,0.666666666666667,3.0
975,1,A,Female,0.666666666666667,2.0
976,1,A,Male,0.666666666666667,2.0
977,1,A,Female,1,3.0
978,1,A,Male,1,2.0
979,1,A,Male,1,3.0
980,1,A,Female,0.666666666666667,1.0
981,1,A,Male,1,3.0
982,1,A,Female,1,3.0
983,1,A,Male,1,2.0
984,1,A,Male,0.333333333333333,2.0
985,1,A,Male,1,2.0
986,1,A,Male,1,3.0
987,1,A,Male,1,3.0
