ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
2112,8,1,A,Female,0.67,1
2113,8,1,A,Male,1.0,2
2114,8,1,A,Male,1.0,2
2117,8,1,A,Female,0.67,2
2118,8,1,A,Female,1.0,0
2120,8,1,A,Male,0.67,1
2123,8,1,A,Male,1.0,3
2124,8,1,A,Female,0.67,2
2129,8,1,A,Female,1.0,1
2133,8,1,A,Female,0.67,0
2134,8,1,A,Female,0.67,0
2135,8,1,A,Female,0.67,2
2137,8,1,A,Female,0.67,1
2138,8,1,A,Female,1.0,1
2140,8,1,A,Female,0.67,1
2141,8,1,A,Female,0.33,0
2143,8,1,A,Female,1.0,0
2144,8,1,B,Male,0.33,0
2145,8,1,B,Female,1.0,2
2146,8,1,B,Male,1.0,2
2147,8,1,B,Female,0.67,2
2148,8,1,B,Male,0.67,0
2149,8,1,B,Female,0.67,2
2150,8,1,B,Male,1.0,1
2153,8,1,B,Male,0.67,2
2157,8,1,B,Female,1.0,1
2158,8,1,B,Female,1.0,0
2159,8,1,B,Female,0.67,1
2160,8,1,B,Male,0.67,1
2161,8,1,B,Female,0.33,1
2162,8,1,B,Male,0.33,0
2163,8,1,B,Female,0.67,2
2165,8,1,B,Male,0.67,0
2167,8,1,B,Male,0.0,1
2170,8,1,B,Male,1.0,2
2171,8,1,B,Female,0.33,1
2172,8,1,B,Female,1.0,1
2174,8,1,C,Male,0.67,2
2175,8,1,C,Male,1.0,3
2176,8,1,C,Female,0.67,2
2177,8,1,C,Female,0.33,1
2179,8,1,C,Female,0.67,1
2181,8,1,C,Female,1.0,1
2182,8,1,C,Male,0.67,1
2183,8,1,C,Female,1.0,2
2184,8,1,C,Female,0.67,2
2190,8,1,C,Male,1.0,1
2196,8,1,C,Male,0.33,0
2197,8,1,C,Female,0.67,2
2198,8,1,C,Male,0.67,1
2200,8,1,C,Female,0.0,0
2202,8,1,C,Female,0.33,2
2204,8,2,A,Female,0.33,2
2206,8,2,A,Female,1.0,2
2207,8,2,A,Male,0.67,1
2208,8,2,A,Female,0.0,0
2209,8,2,A,Female,0.33,2
2210,8,2,A,Male,0.33,2
2211,8,2,A,Female,0.67,1
2212,8,2,A,Male,0.67,1
2213,8,2,A,Male,1.0,2
2216,8,2,A,Female,0.67,2
2217,8,2,A,Female,0.67,1
2218,8,2,A,Female,0.67,2
2219,8,2,A,Female,1.0,2
2223,8,2,A,Female,1.0,2
2224,8,2,A,Male,0.67,2
2225,8,2,A,Female,0.67,2
2227,8,2,A,Female,0.67,2
2228,8,2,A,Female,0.0,1
2229,8,2,A,Female,0.67,2
2230,8,2,A,Male,0.67,1
2231,8,2,B,Male,0.67,1
2233,8,2,B,Male,0.0,1
2234,8,2,B,Male,1.0,1
2235,8,2,B,Male,0.0,1
2237,8,2,B,Male,0.33,1
2238,8,2,B,Male,0.33,1
2242,8,2,B,Female,0.67,0
2243,8,2,B,Male,0.33,1
2249,8,2,B,Female,0.33,1
2250,8,2,B,Female,0.33,1
2254,8,2,B,Male,1.0,1
2256,8,2,B,Male,0.0,1
2258,8,2,C,Male,0.33,2
2259,8,2,C,Male,0.67,2
2261,8,2,C,Female,0.33,1
2265,8,2,C,Male,0.67,0
2267,8,2,C,Male,0.67,1
2272,8,2,C,Male,1.0,2
2274,8,2,C,Male,0.67,1
2275,8,2,C,Male,0.67,0
2277,8,2,C,Male,0.33,0
2278,8,2,C,Male,0.0,1
2279,8,2,C,Male,0.67,1
2281,8,2,C,Female,1.0,0
2283,8,2,D,Male,0.33,2
2287,8,2,D,Female,0.0,1
2288,8,2,D,Female,0.67,0
2292,8,2,D,Female,0.33,1
2293,8,2,D,Male,1.0,2
2294,8,2,D,Male,0.67,2
2295,8,2,D,Male,0.67,2
2297,8,2,D,Male,0.67,2
2298,8,2,D,Male,0.67,2
2299,8,2,D,Male,0.67,1
2302,8,2,D,Male,0.33,1
2303,8,2,D,Male,0.33,2
